SolverIterations,BoxType,StackHeightMultiplier,Gravity,BoxDensity,FramesToSleep,FramesToCollapse,AmountThatSlept,SimulationTime
12,Cube,1,8,0.2,0,60,0,0.000431
13,Cube,1,8,0.2,0,61,0,0.000504
14,Cube,1,8,0.2,0,60,0,0.000432
6,FlatBox,1,8,0.2,0,61.3,0,0.000496
7,FlatBox,1,8,0.2,0,67.6,0,0.000434
8,FlatBox,1,8,0.2,0,69.8,0,0.000496
9,FlatBox,1,8,0.2,0,85,0,0.000438
10,FlatBox,1,8,0.2,0,95.2,0,0.000438
11,FlatBox,1,8,0.2,0,98.8,0,0.000439
12,FlatBox,1,8,0.2,0,122.9,0,0.000433
13,FlatBox,1,8,0.2,0,121.6,0,0.000443
14,FlatBox,1,8,0.2,0,122.4,0,0.000435
6,BigFlatBox,1,8,0.2,0,218,0,0.000445
7,BigFlatBox,1,8,0.2,0,255.8,0,0.000447
8,BigFlatBox,1,8,0.2,0,260,0,0.000456
9,BigFlatBox,1,8,0.2,0,281.4,0,0.000441
10,BigFlatBox,1,8,0.2,0,277.2,0,0.000442
11,BigFlatBox,1,8,0.2,0,321,0,0.000444
12,BigFlatBox,1,8,0.2,0,357,0,0.000433
13,BigFlatBox,1,8,0.2,0,346.5,0,0.000457
14,BigFlatBox,1,8,0.2,0,327.3,0,0.000506
6,Cube,1.01,8,0.2,0,41.5,0,0.00045
7,Cube,1.01,8,0.2,0,44,0,0.00055
8,Cube,1.01,8,0.2,0,46,0,0.000517
9,Cube,1.01,8,0.2,0,43.8,0,0.000583
10,Cube,1.01,8,0.2,0,49.4,0,0.000531
11,Cube,1.01,8,0.2,0,58,0,0.00048
12,Cube,1.01,8,0.2,0,70.9,0,0.000504
13,Cube,1.01,8,0.2,0,62.8,0,0.000514
14,Cube,1.01,8,0.2,0,66.6,0,0.000424
6,FlatBox,1.01,8,0.2,0,61.4,0,0.000369
7,FlatBox,1.01,8,0.2,0,73.4,0,0.000548
8,FlatBox,1.01,8,0.2,0,82.4,0,0.000461
9,FlatBox,1.01,8,0.2,0,83.8,0,0.000514
10,FlatBox,1.01,8,0.2,0,92.6,0,0.000475
11,FlatBox,1.01,8,0.2,0,100.8,0,0.000427
12,FlatBox,1.01,8,0.2,0,104.6,0,0.000477
13,FlatBox,1.01,8,0.2,0,130,0,0.000467
14,FlatBox,1.01,8,0.2,0,128,0,0.000475
6,BigFlatBox,1.01,8,0.2,0,249,0,0.00045
7,BigFlatBox,1.01,8,0.2,0,263,0,0.000436
8,BigFlatBox,1.01,8,0.2,0,254.1,0,0.000355
9,BigFlatBox,1.01,8,0.2,0,324.2,0,0.000399
10,BigFlatBox,1.01,8,0.2,0,215.5,0,0.000449
11,BigFlatBox,1.01,8,0.2,0,280,0,0.000435
12,BigFlatBox,1.01,8,0.2,0,331.3,0,0.000468
13,BigFlatBox,1.01,8,0.2,0,323.3,0,0.00038
14,BigFlatBox,1.01,8,0.2,0,424.8,0,0.000473
6,Cube,1.02,8,0.2,0,46,0,0.000439
7,Cube,1.02,8,0.2,0,45.7,0,0.000433
8,Cube,1.02,8,0.2,0,51.2,0,0.000443
9,Cube,1.02,8,0.2,0,44.9,0,0.000449
10,Cube,1.02,8,0.2,0,50,0,0.000448
11,Cube,1.02,8,0.2,0,51.3,0,0.000525
12,Cube,1.02,8,0.2,0,45,0,0.000458
13,Cube,1.02,8,0.2,0,53.5,0,0.000509
14,Cube,1.02,8,0.2,0,51.6,0,0.000441
6,FlatBox,1.02,8,0.2,0,69.3,0,0.000435
7,FlatBox,1.02,8,0.2,0,69.6,0,0.000498
8,FlatBox,1.02,8,0.2,0,79.3,0,0.000524
9,FlatBox,1.02,8,0.2,0,102.8,0,0.000475
10,FlatBox,1.02,8,0.2,0,109.1,0,0.000491
11,FlatBox,1.02,8,0.2,0,85.8,0,0.00045
12,FlatBox,1.02,8,0.2,0,103.8,0,0.000543
13,FlatBox,1.02,8,0.2,0,114,0,0.000439
14,FlatBox,1.02,8,0.2,0,106.9,0,0.000475
6,BigFlatBox,1.02,8,0.2,0,313.6,0,0.000424
7,BigFlatBox,1.02,8,0.2,0,277.2,0,0.000472
8,BigFlatBox,1.02,8,0.2,0,303,0,0.000459
9,BigFlatBox,1.02,8,0.2,0,264.7,0,0.000461
10,BigFlatBox,1.02,8,0.2,0,275.6,0,0.000475
11,BigFlatBox,1.02,8,0.2,0,419.6,0,0.00044
12,BigFlatBox,1.02,8,0.2,0,257.6,0,0.000432
13,BigFlatBox,1.02,8,0.2,0,332.6,0,0.00047
